"selective_pressure","population","gene","frequency"
"no NaCl","m9p_ma1_3","yieK",0
"no NaCl","m9p_ma1_1","yihG",0
"no NaCl","m9p_ma1_2","yihG",0
"no NaCl","m9p_ma1_3","yihG",0
"no NaCl","m9p_ma1_1","yiiG",0
"no NaCl","m9p_ma1_2","yiiG",0
"no NaCl","m9p_ma1_3","yiiG",0
"no NaCl","m9p_ma1_1","yjgL",0
"no NaCl","m9p_ma1_1","yjgL",0
"no NaCl","m9p_ma1_2","yjgL",0
"no NaCl","m9p_ma1_2","yjgL",0
"no NaCl","m9p_ma1_3","yjgL",0
"no NaCl","m9p_ma1_3","yjgL",0
"no NaCl","m9p_ma1_1","ykfC",0
"no NaCl","m9p_ma1_2","ykfC",0
"no NaCl","m9p_ma1_3","ykfC",0
"no NaCl","m9p_ma1_1","yliI",0
"no NaCl","m9p_ma1_2","yliI",0
"no NaCl","m9p_ma1_3","yliI",0
"no NaCl","m9p_ma1_1","ynbC",0
"no NaCl","m9p_ma1_2","ynbC",0
"no NaCl","m9p_ma1_3","ynbC",0
"no NaCl","m9p_ma1_1","yneO",0
"no NaCl","m9p_ma1_1","yneO",0
"no NaCl","m9p_ma1_1","yneO",0
"no NaCl","m9p_ma1_2","yneO",0
"no NaCl","m9p_ma1_2","yneO",0
"no NaCl","m9p_ma1_2","yneO",0
"no NaCl","m9p_ma1_3","yneO",0
"no NaCl","m9p_ma1_3","yneO",0
"no NaCl","m9p_ma1_3","yneO",0
"no NaCl","m9p_ma1_1","ypjA",0
"no NaCl","m9p_ma1_2","ypjA",0
"no NaCl","m9p_ma1_3","ypjA",0
"no NaCl","m9p_ma1_1","yqiC",0
"no NaCl","m9p_ma1_2","yqiC",0
"no NaCl","m9p_ma1_3","yqiC",0
"no NaCl","m9p_ma1_1","yrfF",0
"no NaCl","m9p_ma1_2","yrfF",0
"no NaCl","m9p_ma1_3","yrfF",0
"no NaCl","m9p_ma1_1","zwf",0
"no NaCl","m9p_ma1_2","zwf",0
"no NaCl","m9p_ma1_3","zwf",0
